Index,Position,Salary Estimate,Rating,Company,Location,Industry
762,Data Analyst-HEDIS & Star,$113K-$184K (Glassdoor est.),3.2,"SCAN Health Plan
3.2","Long Beach, CA",Insurance Carriers
763,Sr. Data Analyst,$136K-$164K (Glassdoor est.),4.3,"ConsultNet, LLC
4.3","Burbank, CA",Staffing & Outsourcing
765,Enterprise Data Analyst,$136K-$164K (Glassdoor est.),3.6,"City National Bank
3.6","Los Angeles, CA",Banks & Credit Unions
767,Data Analyst Manager,$136K-$164K (Glassdoor est.),-1.0,Oakwood Search - CHURN,"Los Angeles, CA",-1
768,Sr Data Analyst (DW),$136K-$164K (Glassdoor est.),4.2,"Aviana Global Technologies, Inc
4.2","Los Angeles, CA",IT Services
770,Senior Data Engineer,$136K-$164K (Glassdoor est.),2.9,"FabFitFun
2.9","Los Angeles, CA","Health, Beauty, & Fitness"
773,Staff Machine Learning Engineer - HBO Max,$136K-$164K (Glassdoor est.),3.7,"Turner Broadcasting
3.7","Burbank, CA",TV Broadcast & Cable Networks
774,Data Engineer,$136K-$164K (Glassdoor est.),5.0,"Techstyle Group LLC
5.0","El Segundo, CA",Industrial Manufacturing
775,Systems and Data Analyst,$136K-$164K (Glassdoor est.),2.4,"To Help Everyone Health & Wellness Centers
2.4","Los Angeles, CA",-1
776,Senior Customer Data Analyst : 20,$136K-$164K (Glassdoor est.),4.6,"Akraya Inc.
4.6","Los Angeles, CA",Staffing & Outsourcing
778,Senior Applied Machine Learning Engineer,$136K-$164K (Glassdoor est.),4.4,"Retention Science
4.4","Santa Monica, CA",Enterprise Software & Network Solutions
780,Data Engineer,$136K-$164K (Glassdoor est.),-1.0,Sense 360,"Culver City, CA",-1
781,"Laboratory Technician/Scientist Molecular Biology, Lab Operations",$136K-$164K (Glassdoor est.),-1.0,EvolvInc,"Carson, CA",IT Services
782,REMOTE Data Analyst,$136K-$164K (Glassdoor est.),-1.0,Catasys Health,"Los Angeles, CA",-1
783,Postdoctoral Scientist - Svendsen Lab - Regenerative Medicine Institute,$136K-$164K (Glassdoor est.),3.9,"Cedars-Sinai
3.9","Los Angeles, CA",Health Care Services & Hospitals
784,Data Analyst Junior,$136K-$164K (Glassdoor est.),5.0,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",IT Services
786,Computer Scientist,$136K-$164K (Glassdoor est.),-1.0,Air Education and Training Command,"Los Angeles, CA",-1
787,"Scientist I, Manufacturing Sciences - West Hills",$136K-$164K (Glassdoor est.),2.7,"Advantage Resourcing
2.7","Los Angeles, CA",Staffing & Outsourcing
788,Business Analyst / Data Analyst with Financial Industry Experience,$136K-$164K (Glassdoor est.),3.0,"INSPIRE IT Solutions
3.0","Monterey Park, CA",-1
789,Radar Exploitation Scientist (Must Have Top Secret/SCI clearance) - JT,$136K-$164K (Glassdoor est.),-1.0,KLM Careers,"Los Angeles, CA",-1
790,Sr Data Engineer,$136K-$164K (Glassdoor est.),2.1,"The Loot Company
2.1","Los Angeles, CA",Other Retail Stores
791,Project Scientist - Department of Medicine - Nephrology - Karumanchi Lab,$136K-$164K (Glassdoor est.),3.9,"Cedars-Sinai
3.9","Los Angeles, CA",Health Care Services & Hospitals
792,Data Engineer,$136K-$164K (Glassdoor est.),3.3,"Age of Learning
3.3","Glendale, CA",K-12 Education
793,"Clinical Laboratory Scientist, Per Diem",$34-$53 Per Hour(Glassdoor est.),3.8,"UC Davis Medical Center
3.8","Los Angeles, CA",Health Care Services & Hospitals
794,Sr. Data Analyst,$34-$53 Per Hour(Glassdoor est.),2.8,"SAG-AFTRA Health Plan and SAG-Producers Pension Plan
2.8","Burbank, CA",-1
795,"Lead Data Science Instructor, Data Scientist",$34-$53 Per Hour(Glassdoor est.),-1.0,Galvanize Inc.,"Los Angeles, CA",Construction
796,"Clinical Laboratory Scientist (Per Diem, Variable Shift)",$34-$53 Per Hour(Glassdoor est.),3.0,"AHMC Healthcare
3.0","Monterey Park, CA",Health Care Services & Hospitals
797,Data Engineer,$34-$53 Per Hour(Glassdoor est.),-1.0,BlackLine Systems,"Woodland Hills, CA",-1
798,Clinical Laboratory Scientist - Generalist,$34-$53 Per Hour(Glassdoor est.),3.8,"LetsGetChecked
3.8","Monrovia, CA",Health Care Services & Hospitals
799,"Clinical Laboratory Scientist , Med Tech",$34-$53 Per Hour(Glassdoor est.),3.4,"Covance
3.4","Los Angeles, CA",Biotech & Pharmaceuticals
800,Data Scientist,$46K-$80K (Glassdoor est.),3.8,"XSELL Technologies
3.8","Chicago, IL",Enterprise Software & Network Solutions
801,Data Scientist / Quantitative Researcher – High Frequency Futures,$46K-$80K (Glassdoor est.),4.1,"Wolverine Trading
4.1","Chicago, IL",Investment Banking & Asset Management
802,Tableau Data Engineer 20-0117,$46K-$80K (Glassdoor est.),3.7,"Relativity
3.7","Chicago, IL",Enterprise Software & Network Solutions
803,Quantitative Analyst,$46K-$80K (Glassdoor est.),3.8,"Magnetar Capital
3.8","Evanston, IL",Investment Banking & Asset Management
804,Data Analyst,$46K-$80K (Glassdoor est.),3.9,"Wintrust Financial
3.9","Chicago, IL",Banks & Credit Unions
805,Data Engineer,$46K-$80K (Glassdoor est.),3.9,"Capital One
3.9","Chicago, IL",Banks & Credit Unions
806,Principal Data Engineering Architect - Data Pipelines,$46K-$80K (Glassdoor est.),3.3,"The Climate Corporation
3.3","Chicago, IL",Enterprise Software & Network Solutions
807,Data Scientist (Entry Level),$46K-$80K (Glassdoor est.),4.3,"Strike Social
4.3","Chicago, IL",Advertising & Marketing
808,Data Engineer,$46K-$80K (Glassdoor est.),3.9,"Balyasny Asset Management
3.9","Chicago, IL",Investment Banking & Asset Management
809,Quantitative Analyst,$46K-$80K (Glassdoor est.),3.7,"Cboe Global Markets
3.7","Chicago, IL",Stock Exchanges
810,Attribute Data Analyst - NON TECHNICAL,$46K-$80K (Glassdoor est.),3.5,"SPINS, LLC
3.5","Chicago, IL",Consulting
811,Quantitative Researcher / Quantitative Research Analyst,$46K-$80K (Glassdoor est.),4.1,"Citadel Securities
4.1","Chicago, IL",Brokerage Services
812,Data Engineer,$46K-$80K (Glassdoor est.),4.5,"Sagence
4.5","Chicago, IL",Consulting
814,Data Scientist,$46K-$80K (Glassdoor est.),2.2,"Uptake
2.2","Chicago, IL",Computer Hardware & Software
815,Data Analyst,$46K-$80K (Glassdoor est.),3.7,"NCSA - Next College Student Athlete
3.7","Chicago, IL",Sports & Recreation
816,Data Scientist,$46K-$80K (Glassdoor est.),3.4,"Waystar
3.4","Chicago, IL",Enterprise Software & Network Solutions
817,Data Scientist,$46K-$80K (Glassdoor est.),3.4,"Harry and David, LLC
3.4","Melrose Park, IL",Food & Beverage Stores
818,Data Scientist,$46K-$80K (Glassdoor est.),4.2,"Goodway Group
4.2","Chicago, IL",Advertising & Marketing
819,Data Scientist,$46K-$80K (Glassdoor est.),5.0,"Kalderos
5.0","Chicago, IL",Enterprise Software & Network Solutions
821,Staff Business Intelligence Analyst,$46K-$80K (Glassdoor est.),3.0,"Kraft Heinz Company
3.0","Chicago, IL",Food & Beverage Manufacturing
822,"Data Scientist, Advanced Analytics",$46K-$80K (Glassdoor est.),3.2,"GoHealth
3.2","Chicago, IL",Health Care Services & Hospitals
823,Data Scientist 2,$46K-$80K (Glassdoor est.),3.6,"Humana
3.6","Chicago, IL",Insurance Carriers
824,Data Scientist (remote),$46K-$80K (Glassdoor est.),3.3,"Thrivent
3.3","Chicago, IL",Insurance Carriers
825,"Data Scientist, Intern",$46K-$80K (Glassdoor est.),4.9,"Fetch Rewards
4.9","Chicago, IL",Computer Hardware & Software
826,Data Analyst,$46K-$80K (Glassdoor est.),3.2,"GoHealth
3.2","Chicago, IL",Health Care Services & Hospitals
827,Data Scientist,$46K-$80K (Glassdoor est.),3.4,"HNI
3.4","Chicago, IL",Consumer Products Manufacturing
828,Data Scientist,$46K-$80K (Glassdoor est.),4.7,"Sutoer
4.7","Chicago, IL",Advertising & Marketing
829,Data Scientist,$46K-$80K (Glassdoor est.),3.0,"Photon Infotech
3.0","Chicago, IL",IT Services
831,Senior Data Scientist (Experimentation),$79K-$130K (Glassdoor est.),3.8,"Grubhub
3.8","Chicago, IL",Internet
832,Data Scientist 2 - Styling/Trunks Data Science & Analytics,$79K-$130K (Glassdoor est.),3.6,"Nordstrom
3.6","Chicago, IL","Department, Clothing, & Shoe Stores"
833,Data Scientist - Nationwide Opportunities,$79K-$130K (Glassdoor est.),3.9,"Amazon
3.9","Chicago, IL",Internet
834,Data Scientist,$79K-$130K (Glassdoor est.),3.2,"Triplebyte
3.2","Chicago, IL",Computer Hardware & Software
835,Data Scientist,$79K-$130K (Glassdoor est.),-1.0,Goby Inc,"Chicago, IL",IT Services
836,Entry Level / Jr. Data Analyst,$79K-$130K (Glassdoor est.),-1.0,KesarWeb,"Chicago, IL",-1
837,Business Systems & Data Analyst,$79K-$130K (Glassdoor est.),2.8,"Mike's Hard Lemonade
2.8","Chicago, IL",Food & Beverage Manufacturing
838,Data Scientist,$79K-$130K (Glassdoor est.),3.8,"Hewlett Packard Enterprise
3.8","Chicago, IL",Enterprise Software & Network Solutions
839,Data Scientist,$79K-$130K (Glassdoor est.),4.3,"Green Key Technologies
4.3","Chicago, IL",Computer Hardware & Software
840,Data Scientist,$79K-$130K (Glassdoor est.),4.7,"Capax Global
4.7","Chicago, IL",IT Services
842,Data Scientist,$79K-$130K (Glassdoor est.),5.0,"CreditNinja
5.0","Chicago, IL",Lending
843,Federal - Data Scientist,$79K-$130K (Glassdoor est.),4.2,"Solekai Systems Corp
4.2","Chicago, IL",Computer Hardware & Software
844,Data Scientist,$79K-$130K (Glassdoor est.),4.0,"Fisec Global
4.0","Chicago, IL",IT Services
845,Senior Data Scientist,$79K-$130K (Glassdoor est.),3.8,"5thColumn
3.8","Chicago, IL",Enterprise Software & Network Solutions
846,Data Scientist,$79K-$130K (Glassdoor est.),2.6,"Saggezza
2.6","Chicago, IL",IT Services
847,Data Scientist/AI Scientist,$79K-$130K (Glassdoor est.),2.7,"STATS PERFORM
2.7","Chicago, IL",TV Broadcast & Cable Networks
849,Data Scientist - Consultant,$79K-$130K (Glassdoor est.),3.8,"Capgemini
3.8","Chicago, IL",Enterprise Software & Network Solutions
850,Data Scientist,$79K-$130K (Glassdoor est.),3.5,"Care Advisors Inc
3.5","Chicago, IL",Computer Hardware & Software
851,Data Scientist,$79K-$130K (Glassdoor est.),4.1,"iManage
4.1","Chicago, IL",Computer Hardware & Software
852,Data Engineer,$79K-$130K (Glassdoor est.),3.8,"Citadel
3.8","Chicago, IL",-1
853,Data Scientist,$79K-$130K (Glassdoor est.),2.8,"BCforward
2.8","Chicago, IL",IT Services
854,Data Scientist,$79K-$130K (Glassdoor est.),4.2,"DW Simpson
4.2","Chicago, IL",Staffing & Outsourcing
855,Statistician (Data Scientist) *12 month Roster* *Direct Hire*,$79K-$130K (Glassdoor est.),3.5,"Internal Revenue Service
3.5","Chicago, IL",Federal Agencies
856,Data Engineer,$79K-$130K (Glassdoor est.),4.7,"SADA
4.7","Chicago, IL",IT Services
857,Machine Learning/Data Scientist,$79K-$130K (Glassdoor est.),-1.0,Hale Testing Solutions,"Chicago, IL",-1
858,Data Scientist - Life Sciences,$79K-$130K (Glassdoor est.),4.3,"Argonne National Laboratory
4.3","Lemont, IL",Federal Agencies
859,Data Scientist,$79K-$130K (Glassdoor est.),3.8,"NPD
3.8","Rosemont, IL",Research & Development
860,Product Data Analyst,$79K-$130K (Glassdoor est.),3.8,"Mondo
3.8","Chicago, IL",Staffing & Outsourcing
861,Senior Data Scientist,$91K-$105K (Glassdoor est.),3.1,"Group O
3.1","Chicago, IL",Staffing & Outsourcing
862,Sr. Data Scientist,$91K-$105K (Glassdoor est.),3.8,"Grubhub
3.8","Chicago, IL",Internet
863,"Principal Data Scientist, Cat Digital",$91K-$105K (Glassdoor est.),3.8,"Caterpillar
3.8","Chicago, IL",Industrial Manufacturing
864,"Applied Data Scientist, Government",$91K-$105K (Glassdoor est.),3.2,"Civis Analytics
3.2","Chicago, IL",Enterprise Software & Network Solutions
865,Data Scientist,$91K-$105K (Glassdoor est.),-1.0,MessageControl,"Chicago, IL",Enterprise Software & Network Solutions
867,Data Scientist,$91K-$105K (Glassdoor est.),2.6,"Smart Synergies, Inc.
2.6","Chicago, IL",Consulting
868,Data Scientist,$91K-$105K (Glassdoor est.),1.6,"Management Decisions, Inc.
1.6","Chicago, IL",Advertising & Marketing
869,Data Scientist/AI Scientist,$91K-$105K (Glassdoor est.),2.7,"STATS LLC
2.7","Chicago, IL",News Outlet
870,Data Scientist,$91K-$105K (Glassdoor est.),4.0,"Two95 International Inc.
4.0","Chicago, IL",Staffing & Outsourcing
871,Data Scientist / Statistical Modeler,$91K-$105K (Glassdoor est.),3.7,"BMO Financial Group
3.7","Chicago, IL",Banks & Credit Unions
872,"Lead Data Scientist, Client Insights - Analytics",$91K-$105K (Glassdoor est.),3.3,"Nuveen
3.3","Chicago, IL",Investment Banking & Asset Management
873,Data Scientist,$91K-$105K (Glassdoor est.),4.7,"Unicom Technologies INC
4.7","Chicago, IL",IT Services
874,"Data Scientist, Analytics Advisor",$91K-$105K (Glassdoor est.),2.9,"CVS Health
2.9","Northbrook, IL",Health Care Services & Hospitals
875,Data Scientist - Cruises & Events,$91K-$105K (Glassdoor est.),3.5,"Alcatraz Cruises
3.5","Chicago, IL",Cruise Ships
876,Sr. Data Scientist (Multiple Openings),$91K-$105K (Glassdoor est.),3.6,"Nielsen
3.6","Chicago, IL",Enterprise Software & Network Solutions
877,Junior Data Analyst,$91K-$105K (Glassdoor est.),3.7,"Circle Logistics
3.7","Chicago, IL",Transportation Management
878,Data Scientist,$91K-$105K (Glassdoor est.),4.5,"Maven Wave Partners
4.5","Chicago, IL",Consulting
879,"Wealth Management, MIS Data Scientist, Associate",$91K-$105K (Glassdoor est.),3.9,"JPMorgan Chase
3.9","Westmont, IL",Investment Banking & Asset Management
880,Data & Machine Learning Scientist,$91K-$105K (Glassdoor est.),3.3,"Tempus
3.3","Chicago, IL",Financial Transaction Processing
881,Data Scientist,$91K-$105K (Glassdoor est.),3.3,"Underwriters Laboratories
3.3","Northbrook, IL",Consulting
882,Data Analyst,$91K-$105K (Glassdoor est.),3.8,"Undertone
3.8","Chicago, IL",Advertising & Marketing
883,Data Scientist,$91K-$105K (Glassdoor est.),2.8,"1-800-Flowers.com
2.8","Melrose Park, IL",Wholesale
884,Senior Data Scientist,$91K-$105K (Glassdoor est.),3.6,"Humana
3.6","Chicago, IL",Insurance Carriers
885,Quantum Data Scientist (Industrial-Process sector),$91K-$105K (Glassdoor est.),3.7,"IBM
3.7","Chicago, IL",IT Services
886,Data Scientist (Remote),$91K-$105K (Glassdoor est.),4.5,"Kraken Digital Asset Exchange
4.5","Chicago, IL",Internet
888,Data Scientist Advanced Analytics,$91K-$105K (Glassdoor est.),-1.0,FNA,"Chicago, IL",-1
889,Data Scientist,$91K-$105K (Glassdoor est.),3.4,"Spectrum Communications and Consulting
3.4","Chicago, IL",Advertising & Marketing
890,Staff Scientist,$91K-$105K (Glassdoor est.),4.0,"University of Chicago
4.0","Chicago, IL",Colleges & Universities
891,Data Scientist,$31K-$56K (Glassdoor est.),3.5,"Medix
3.5","Elmhurst, IL",Staffing & Outsourcing
892,Data & Machine Learning Scientist,$31K-$56K (Glassdoor est.),3.2,"Tempus Labs
3.2","Chicago, IL",Biotech & Pharmaceuticals
894,"Senior Applied Data Scientist, Government",$31K-$56K (Glassdoor est.),3.2,"Civis Analytics
3.2","Chicago, IL",Enterprise Software & Network Solutions
895,Food Scientist,$31K-$56K (Glassdoor est.),2.5,"TreeHouse Foods
2.5","Downers Grove, IL",Food & Beverage Manufacturing
897,Data Analyst,$31K-$56K (Glassdoor est.),3.2,"BMO
3.2","Chicago, IL",Banks & Credit Unions
901,Data Analyst,$31K-$56K (Glassdoor est.),4.1,"Peterson Technology Partners
4.1","Chicago, IL",Computer Hardware & Software
903,Data Analyst,$31K-$56K (Glassdoor est.),4.0,"University of Chicago
4.0","Chicago, IL",Colleges & Universities
904,Senior Quantitative Analyst,$31K-$56K (Glassdoor est.),4.0,"Morningstar
4.0","Chicago, IL",Financial Analytics & Research
905,Sr Data Scientist,$31K-$56K (Glassdoor est.),5.0,"Kalderos
5.0","Chicago, IL",Enterprise Software & Network Solutions
906,Senior Data Scientist,$31K-$56K (Glassdoor est.),3.5,"Aon
3.5","Chicago, IL",Insurance Agencies & Brokerages
907,Supply Chain/Data Analyst - Merchandising,$31K-$56K (Glassdoor est.),3.4,"Aerotek
3.4","Chicago, IL",Staffing & Outsourcing
908,Data Scientist,$31K-$56K (Glassdoor est.),1.0,"Encore Consulting Services
1.0","Rolling Meadows, IL",-1
909,Data Scientist,$31K-$56K (Glassdoor est.),2.6,"Kehe
2.6","Naperville, IL",Wholesale
910,Associate Food Scientist - Global Expansion Team,$31K-$56K (Glassdoor est.),3.5,"Ferrara Candy Company
3.5","Maywood, IL",Food & Beverage Manufacturing
911,Data Engineer,$31K-$56K (Glassdoor est.),4.1,"VillageMD
4.1","Chicago, IL",Health Care Services & Hospitals
912,Quantitative Analyst,$31K-$56K (Glassdoor est.),4.7,"Old Mission Capital
4.7","Chicago, IL",Brokerage Services
913,Data Analyst Intern,$31K-$56K (Glassdoor est.),-1.0,MT Global US INC,"Chicago, IL",-1
914,Data Analyst,$31K-$56K (Glassdoor est.),3.8,"Ann & Robert H. Lurie Children's Hospital of Chicago
3.8","Chicago, IL",Health Care Services & Hospitals
915,Data Analyst,$31K-$56K (Glassdoor est.),3.7,"BMO Financial Group
3.7","Chicago, IL",Banks & Credit Unions
917,Sr. Data Engineer,$31K-$56K (Glassdoor est.),3.4,"Alliant Credit Union
3.4","Chicago, IL",Banks & Credit Unions
918,Urgent Need - Data Analyst,$31K-$56K (Glassdoor est.),3.4,"Kelly
3.4","Chicago, IL",Staffing & Outsourcing
919,Senior Scientist-Wind Vulnerability,$31K-$56K (Glassdoor est.),3.5,"Aon
3.5","Chicago, IL",Insurance Agencies & Brokerages
920,Business Intelligence Analyst,$31K-$56K (Glassdoor est.),3.1,"Kemper
3.1","Chicago, IL",Insurance Carriers
921,Business Intelligence Analyst,$39K-$81K (Glassdoor est.),3.4,"Fooda
3.4","Chicago, IL",IT Services
922,Data Analyst,$39K-$81K (Glassdoor est.),3.9,"TEKsystems, Inc
3.9","Chicago, IL",Staffing & Outsourcing
923,Business Intelligence Analyst,$39K-$81K (Glassdoor est.),4.1,"MDLIVE Inc
4.1","Chicago, IL",Health Care Services & Hospitals
924,Sr Quantitative Analyst,$39K-$81K (Glassdoor est.),3.9,"Exelon
3.9","Chicago, IL",Energy
925,Senior Global Data Analyst / Power BI Dashboard Developer,$39K-$81K (Glassdoor est.),2.8,"ALERE
2.8","Chicago, IL",Biotech & Pharmaceuticals
926,Senior Data Scientist,$39K-$81K (Glassdoor est.),4.5,"Maven Wave Partners
4.5","Chicago, IL",Consulting
927,Sr. Data Analyst,$39K-$81K (Glassdoor est.),3.8,"Mondo
3.8","Chicago, IL",Staffing & Outsourcing
929,Machine Learning Engineer,$39K-$81K (Glassdoor est.),3.2,"Triplebyte
3.2","Chicago, IL",Computer Hardware & Software
930,Senior Data Scientist,$39K-$81K (Glassdoor est.),3.9,"Numerator
3.9","Chicago, IL",IT Services
932,Business Data Analyst,$39K-$81K (Glassdoor est.),3.3,"Feeding America
3.3","Chicago, IL",Social Assistance
933,Data Analyst,$39K-$81K (Glassdoor est.),4.7,"CRS Group
4.7","Chicago, IL",Staffing & Outsourcing
934,Senior Data Scientist - Telecommute,$39K-$81K (Glassdoor est.),3.3,"Unitedhealth Group
3.3","Chicago, IL",Health Care Services & Hospitals
935,Clinical Safety Scientist I,$39K-$81K (Glassdoor est.),4.0,"CTI Clinical Trial Services, Inc
4.0","Chicago, IL",Health Care Services & Hospitals
936,Lead Data Analyst,$39K-$81K (Glassdoor est.),4.6,"First Stop Health
4.6","Chicago, IL",Health Care Services & Hospitals
937,Informatics Scientist - Cardiology AI,$39K-$81K (Glassdoor est.),3.2,"Tempus Labs
3.2","Chicago, IL",Biotech & Pharmaceuticals
938,Data Scientist - Cruises & Events,$39K-$81K (Glassdoor est.),3.3,"Hornblower Cruises and Events
3.3","Chicago, IL",Cruise Ships
939,Software Engineer - Data Platform,$39K-$81K (Glassdoor est.),3.9,"Balyasny Asset Management
3.9","Chicago, IL",Investment Banking & Asset Management
940,Product Development Scientist - Covid 19,$39K-$81K (Glassdoor est.),3.2,"Tempus Labs
3.2","Chicago, IL",Biotech & Pharmaceuticals
941,Principal Data Scientist- Public Sector,$39K-$81K (Glassdoor est.),3.7,"IBM
3.7","Chicago, IL",IT Services
942,Quantitative Analyst,$39K-$81K (Glassdoor est.),3.4,"Belvedere Trading
3.4","Chicago, IL",Venture Capital & Private Equity
943,Data Scientist,$39K-$81K (Glassdoor est.),-1.0,"UL, LLC","Northbrook, IL",-1
944,Data Engineer - QuantumBlack,$39K-$81K (Glassdoor est.),4.4,"McKinsey & Company
4.4","Chicago, IL",Consulting
945,Data Analyst,$39K-$81K (Glassdoor est.),4.1,"UST Global
4.1","Chicago, IL",IT Services
946,"IoT Data Scientist - Leadeship Role - Chicago, NY, Dallas, or Atlanta",$39K-$81K (Glassdoor est.),3.8,"Capgemini
3.8","Chicago, IL",Enterprise Software & Network Solutions
947,Data Analyst,$39K-$81K (Glassdoor est.),3.5,"Chicago Public Schools
3.5","Chicago, IL",K-12 Education
948,"Quantitative Research Analyst, Global Quantitative Strategies",$39K-$81K (Glassdoor est.),3.8,"Citadel
3.8","Chicago, IL",-1
949,Data Analyst,$39K-$81K (Glassdoor est.),3.9,"Diverse Lynx
3.9","Chicago, IL",IT Services
950,Data Analyst,$39K-$81K (Glassdoor est.),-1.0,El Hogar del Nino - The Home of the Child,"Chicago, IL",-1
951,Senior Python Data Scientist,$99K-$174K (Glassdoor est.),-1.0,Cepoch,"Chicago, IL",-1
952,Data Engineer II,$99K-$174K (Glassdoor est.),3.8,"Grubhub
3.8","Chicago, IL",Internet
953,Data Analyst,$99K-$174K (Glassdoor est.),3.6,"Level Ex, Inc.
3.6","Chicago, IL",Video Games
954,Data Engineer,$99K-$174K (Glassdoor est.),4.8,"Apervita
4.8","Chicago, IL",Enterprise Software & Network Solutions
955,Junior Data Analyst,$99K-$174K (Glassdoor est.),5.0,"Staffigo Technical Services, LLC
5.0","Chicago, IL",IT Services
957,Quantum Principal Data Scientist (Industrial-Discrete sector),$99K-$174K (Glassdoor est.),3.7,"IBM
3.7","Chicago, IL",IT Services
958,Data Analyst,$99K-$174K (Glassdoor est.),3.7,"Riskonnect Inc
3.7","Chicago, IL",Enterprise Software & Network Solutions
959,Data Engineer,$99K-$174K (Glassdoor est.),4.3,"Strike Social
4.3","Chicago, IL",Advertising & Marketing
960,Data Engineer,$99K-$174K (Glassdoor est.),4.5,"Involgix
4.5","Chicago, IL",IT Services
961,Data Scientist Sr. - Conversation Designer & NLP Analyst,$99K-$174K (Glassdoor est.),3.4,"PNC Financial Services Group
3.4","Downers Grove, IL",Banks & Credit Unions
962,Senior Data Scientist - Nationwide Opportunities,$99K-$174K (Glassdoor est.),3.9,"Amazon
3.9","Chicago, IL",Internet
963,Data Engineer – Full-Time,$99K-$174K (Glassdoor est.),3.8,"Citadel
3.8","Chicago, IL",-1
964,Sr. Decision Scientist,$99K-$174K (Glassdoor est.),3.8,"Grubhub
3.8","Chicago, IL",Internet
965,Data Analyst,$99K-$174K (Glassdoor est.),3.5,"Care Advisors Inc
3.5","Chicago, IL",Computer Hardware & Software
966,Pharmacovgilance Scientist,$99K-$174K (Glassdoor est.),3.4,"Kelly
3.4","Chicago, IL",Staffing & Outsourcing
967,Computational Scientist-Secure Data,$99K-$174K (Glassdoor est.),4.0,"University of Chicago
4.0","Chicago, IL",Colleges & Universities
968,Data Engineer,$99K-$174K (Glassdoor est.),3.8,"Mondo
3.8","Chicago, IL",Staffing & Outsourcing
969,Data Engineer,$99K-$174K (Glassdoor est.),5.0,"Kalderos
5.0","Chicago, IL",Enterprise Software & Network Solutions
970,Data Analyst - IntelliScript,$99K-$174K (Glassdoor est.),3.8,"Milliman
3.8","Chicago, IL",Consulting
971,Lead Data Scientist,$99K-$174K (Glassdoor est.),3.6,"Humana
3.6","Chicago, IL",Insurance Carriers
972,Data Engineer,$99K-$174K (Glassdoor est.),5.0,"Zai Global
5.0","Chicago, IL",-1
973,Cloud Data Engineer,$99K-$174K (Glassdoor est.),4.5,"Maven Wave Partners
4.5","Chicago, IL",Consulting
975,Data Engineer,$99K-$174K (Glassdoor est.),3.7,"ServiceNow
3.7","Chicago, IL",Enterprise Software & Network Solutions
976,Data Engineer,$99K-$174K (Glassdoor est.),-1.0,Arrive,"Chicago, IL",-1
977,Quantum Principal Data Scientist (Industrial-Process sector),$99K-$174K (Glassdoor est.),3.7,"IBM
3.7","Chicago, IL",IT Services
978,"Bioinformatics Scientist, Data Operations",$99K-$174K (Glassdoor est.),3.3,"Tempus
3.3","Chicago, IL",Financial Transaction Processing
979,"Big Data Machine Learning Engineer in Chicago, IL at Key Bank",$99K-$174K (Glassdoor est.),3.3,"KeyBank
3.3","Chicago, IL",Banks & Credit Unions
980,Data Engineer (AI/ML),$99K-$174K (Glassdoor est.),3.7,"eTeam Inc.
3.7","Chicago, IL",Staffing & Outsourcing
981,Business Intelligence Analyst,$76K-$147K (Glassdoor est.),2.9,"IFG Companies
2.9","Chicago, IL",Insurance Carriers
982,Data Analyst,$76K-$147K (Glassdoor est.),2.7,"TechUSA
2.7","Chicago, IL",Staffing & Outsourcing
983,CSI Data Analyst,$76K-$147K (Glassdoor est.),3.5,"Chicago Public Schools
3.5","Chicago, IL",K-12 Education
984,Data Engineer,$76K-$147K (Glassdoor est.),3.1,"Keylent
3.1","Chicago, IL",-1
985,Sr. Data Scientist,$76K-$147K (Glassdoor est.),3.9,"Wavicle Data Solutions LLC
3.9","Chicago, IL",IT Services
988,Data Analyst,$76K-$147K (Glassdoor est.),4.1,"SkySource Solutions
4.1","Downers Grove, IL",Staffing & Outsourcing
989,Data Analyst (Supply Chain) - May Reside Anywhere in the US - Up to 100% Travel,$76K-$147K (Glassdoor est.),4.5,"Maine Pointe
4.5","Chicago, IL",Consulting
991,Data Scientist - Sr. Analyst,$76K-$147K (Glassdoor est.),2.0,"HR Pundits
2.0","Chicago, IL",Computer Hardware & Software
993,Data Analyst,$76K-$147K (Glassdoor est.),4.0,"Lorven Technologies Inc
4.0","Chicago, IL",Accounting
995,Senior Data Scientist,$76K-$147K (Glassdoor est.),5.0,"CultureFit Technology Staffing
5.0","Chicago, IL",Advertising & Marketing
996,Machine Learning Engineer,$76K-$147K (Glassdoor est.),-1.0,TalentCraft,"Chicago, IL",Staffing & Outsourcing
997,Data Analyst Alteryx Experience MUST,$76K-$147K (Glassdoor est.),3.7,"22nd Century Technologies
3.7","Chicago, IL",IT Services
998,Sr Data Scientist,$76K-$147K (Glassdoor est.),5.0,"CreditNinja
5.0","Chicago, IL",Lending
999,Behavioral Scientist,$76K-$147K (Glassdoor est.),3.7,"NICE Systems
3.7","Chicago, IL",-1
1000,Machine Learning Engineer,$76K-$147K (Glassdoor est.),2.7,"STATS PERFORM
2.7","Chicago, IL",TV Broadcast & Cable Networks
1001,Senior Data Analyst,$76K-$147K (Glassdoor est.),3.9,"Numerator
3.9","Chicago, IL",IT Services
1002,Senior Data Scientist,$76K-$147K (Glassdoor est.),4.2,"NJF Global Holdings
4.2","Chicago, IL",Staffing & Outsourcing
1003,Data Engineer,$76K-$147K (Glassdoor est.),4.1,"Brad's Deals
4.1","Chicago, IL",Internet
